year,name,height_in,weight_lbs,40,bench,vertical,broad_jump,shuttle,3_cone
2024,Javon Baker,73.38,202,4.54,14,37.0,121,4.27,7.02
2024,Jermaine Burton,72.25,196,4.45,13,38.5,133,4.24,7.0
2024,Jalen Coker,73.25,208,4.57,14,42.5,128,4.27,7.02
2024,Keon Coleman,74.63,213,4.61,16,38.0,127,4.28,7.05
2024,Malachi Corley,70.63,215,4.55,16,35.5,121,4.28,7.05
2024,Jacob Cowing,68.38,168,4.38,9,36.0,119,4.32,7.02
2024,Ryan Flournoy,73.13,202,4.44,19,39.5,132,4.27,7.02
2024,Troy Franklin,74.25,176,4.41,11,39.0,124,4.31,6.9
2024,Anthony Gould,68.0,174,4.39,11,39.5,129,4.16,6.99
2024,Lideatrick Griffin,69.88,181,4.43,12,35.5,124,4.35,7.0
2024,Marvin Harrison,75.25,209,4.54,14,35.0,121,4.27,7.02
2024,JhaQuan Jackson,69.0,188,4.42,12,32.0,118,4.23,6.99
2024,Cornelius Johnson,75.13,212,4.44,16,37.5,127,4.28,7.05
2024,Xavier Legette,73.0,221,4.39,17,40.0,126,4.26,7.04
2024,Luke McCaffrey,73.75,198,4.46,13,36.0,121,4.02,6.7
2024,Ladd McConkey,71.5,186,4.39,13,36.0,124,4.23,6.99
2024,Jalen McMillan,72.63,197,4.47,13,37.0,127,4.18,6.94
2024,Bub Means,72.75,212,4.43,19,39.5,122,4.28,7.05
2024,Adonai Mitchell,74.13,205,4.34,14,39.5,136,4.27,7.02
2024,Malik Nabers,71.75,200,4.54,13,35.0,120,4.24,7.0
2024,Rome Odunze,74.75,212,4.45,16,39.0,124,4.03,6.88
2024,Ricky Pearsall,72.88,189,4.41,17,42.0,129,4.05,6.64
2024,JaLynn Polk,73.0,203,4.52,14,37.5,129,4.27,7.02
2024,Brenden Rice,74.13,208,4.5,13,36.5,119,4.27,7.02
2024,Tayvion Robinson,70.63,191,4.54,13,35.0,120,4.24,7.0
2024,Marcus Rosemy-Jacksaint,73.0,195,4.54,13,35.0,119,4.24,7.0
2024,Ainias Smith,69.25,190,4.54,21,34.5,119,4.23,6.99
2024,Brian Thomas,75.25,209,4.33,11,38.5,126,4.27,7.02
2024,Jamari Thrash,71.75,188,4.46,12,34.0,120,4.23,7.16
2024,Devaughn Vele,76.25,203,4.47,14,36.0,126,4.27,7.02
2024,Devontez Walker,73.63,193,4.36,13,40.5,134,4.24,7.0
2024,Malik Washington,68.63,191,4.47,19,42.5,126,4.24,7.0
2024,Tahj Washington,69.88,174,4.55,11,35.0,122,4.22,6.99
2024,Xavier Weaver,72.25,169,4.53,9,34.0,118,4.22,6.95
2024,Jordan Whittington,72.63,205,4.54,18,35.0,121,4.27,7.02
2024,Isaiah Williams,68.88,182,4.63,17,38.0,123,4.23,6.75
2024,Johnny Wilson,78.13,231,4.52,17,37.0,128,4.11,7.08
2024,Roman Wilson,70.5,185,4.39,12,34.5,119,4.23,6.99
2024,Xavier Worthy,71.25,165,4.21,9,41.0,131,4.22,6.95
2023,Jordan Addison,71.13,173,4.49,11,34.0,122,4.19,7.05
2023,Ronnie Bell,71.63,191,4.54,14,38.5,120,4.15,6.98
2023,Kayshon Boutte,71.25,195,4.5,13,29.0,118,4.25,7.0
2023,Jalen Brooks,73.0,200,4.69,15,35.0,130,4.31,7.15
2023,Jason Brownlee,74.0,198,4.59,16,39.5,131,4.32,6.91
2023,Jacob Copeland,71.25,201,4.42,20,33.0,127,4.47,7.01
2023,Derius Davis,68.38,165,4.36,9,34.0,118,4.38,6.95
2023,Nathaniel Dell,68.38,165,4.49,9,34.0,121,4.22,6.95
2023,Dontay Demus,75.13,212,4.57,16,35.5,123,4.39,7.05
2023,Demario Douglas,68.25,179,4.44,12,39.5,134,4.29,7.05
2023,Josh Downs,68.75,171,4.48,11,38.5,131,4.15,6.75
2023,Grant DuBose,74.38,201,4.57,14,35.0,125,4.32,6.89
2023,Zay Flowers,69.25,182,4.42,12,35.5,127,4.23,6.99
2023,Bryce Ford-Wheaton,75.75,221,4.38,17,41.0,129,4.15,6.97
2023,Antoine Green,73.75,199,4.47,13,33.5,123,4.27,6.99
2023,Jadon Haselwood,74.25,215,4.66,16,37.0,123,4.31,6.98
2023,Malik Heath,74.38,213,4.64,16,34.0,124,4.46,6.96
2023,Elijah Higgins,75.0,239,4.54,17,35.0,126,4.5,7.01
2023,Xavier Hutchinson,73.88,203,4.53,13,36.0,116,4.35,6.91
2023,Jalin Hyatt,72.13,184,4.4,12,40.0,135,4.33,7.06
2023,Andrei Iosivas,75.13,205,4.43,19,39.0,128,4.12,6.85
2023,Kearis Jackson,71.38,196,4.55,13,35.0,126,4.24,7.0
2023,Rakim Jarrett,71.88,192,4.44,13,35.5,123,4.24,7.0
2023,Michael Jefferson,75.75,199,4.56,16,37.0,133,4.56,7.03
2023,Jaray Jenkins,73.63,204,4.6,20,29.5,121,4.27,7.02
2023,C.J. Johnson,73.5,224,4.55,17,35.0,121,4.26,7.04
2023,Quentin Johnston,74.75,208,4.54,14,40.5,134,4.27,7.02
2023,Charlie Jones,71.38,176,4.43,13,36.5,124,4.15,6.84
2023,Malik Knowles,74.25,196,4.54,13,35.0,120,4.24,7.0
2023,Matt Landers,76.38,200,4.37,13,37.0,130,4.24,7.0
2023,Marvin Mims,70.88,183,4.38,12,39.5,129,4.23,6.9
2023,Jonathan Mingo,73.75,220,4.46,22,39.5,129,4.28,7.05
2023,Jalen Moreno-Cropper,71.13,172,4.4,11,34.0,121,4.22,6.99
2023,Puka Nacua,73.63,210,4.57,15,33.0,121,4.36,7.32
2023,Joseph Ngata,75.13,223,4.54,15,34.5,124,4.22,7.29
2023,Trey Palmer,72.25,192,4.33,13,29.5,114,4.26,7.13
2023,A.T. Perry,75.5,198,4.47,13,35.0,133,4.24,7.0
2023,Jayden Reed,70.88,191,4.45,13,33.5,121,4.29,7.0
2023,Rashee Rice,72.63,204,4.51,14,41.0,128,4.23,7.02
2023,Tyler Scott,69.88,177,4.44,15,39.5,133,4.25,6.99
2023,Justin Shorter,76.25,229,4.55,18,35.5,126,4.26,7.04
2023,Jaxon Smith-Njigba,72.63,196,4.52,13,35.0,125,3.93,6.57
2023,Cedric Tillman,75.38,213,4.54,16,37.0,128,4.28,7.32
2023,Mitchell Tinsley,72.0,199,4.6,14,35.5,120,4.21,6.7
2023,Tre Tucker,68.63,182,4.4,16,37.5,124,4.49,7.07
2023,Parker Washington,69.75,204,4.54,16,35.0,121,4.27,7.02
2023,Jalen Wayne,73.75,216,4.51,16,34.5,124,4.51,7.43
2023,Dontayvion Wicks,73.38,206,4.62,14,39.0,130,4.27,7.02
2023,Michael Wilson,73.88,213,4.58,23,37.5,125,4.27,6.81
2022,Calvin Austin,67.75,170,4.32,9,39.0,135,4.07,6.65
2022,Kevin Austin,74.38,200,4.43,13,39.0,132,4.15,6.71
2022,David Bell,72.88,212,4.68,16,33.0,118,4.57,7.14
2022,Slade Bolden,70.63,193,4.66,13,32.0,116,4.24,7.0
2022,Treylon Burks,73.88,224,4.55,12,33.0,122,4.4,7.28
2022,DaiJean Dixon,74.63,205,4.62,14,34.0,125,4.42,7.28
2022,Jahan Dotson,70.63,178,4.43,11,36.0,121,4.22,7.28
2022,Romeo Doubs,73.88,201,4.54,14,35.0,121,4.27,7.02
2022,Dontario Drummond,72.88,215,4.65,16,34.0,122,4.28,7.05
2022,Erik Ezukanma,73.88,209,4.54,14,36.5,126,4.38,7.02
2022,Ty Fryfogle,73.13,209,4.53,13,39.0,127,4.47,7.15
2022,Danny Gray,71.88,186,4.33,12,34.0,126,4.23,6.99
2022,Johnny Johnson,71.88,197,4.6,13,32.0,121,4.54,7.21
2022,Josh Johnson,70.5,179,4.62,14,34.0,118,4.22,6.99
2022,Velus Jones,71.75,204,4.31,14,33.0,121,4.27,7.02
2022,DEriq King,68.75,196,4.54,13,35.0,120,4.24,7.0
2022,Drake London,75.88,219,4.55,16,35.5,121,4.28,7.05
2022,Bo Melton,71.0,189,4.34,12,38.0,121,4.23,6.98
2022,John Metchie,71.25,187,4.54,12,34.5,119,4.23,6.99
2022,Skyy Moore,69.63,195,4.41,13,34.5,125,4.32,7.13
2022,Jalen Nailor,71.25,186,4.5,12,38.0,128,4.28,7.03
2022,Chris Olave,72.38,187,4.39,12,32.0,124,4.23,6.99
2022,Kyle Philips,71.25,189,4.58,12,33.5,124,4.23,6.99
2022,George Pickens,75.25,195,4.47,13,33.0,125,4.24,7.0
2022,Alec Pierce,75.13,211,4.41,16,40.5,129,4.28,7.13
2022,Makai Polk,75.13,195,4.59,13,31.0,119,4.36,7.0
2022,Charleston Rambo,72.63,177,4.57,11,33.5,118,4.22,6.99
2022,Reggie Roberson,71.0,192,4.54,13,29.0,114,4.24,7.0
2022,WanDale Robinson,68.0,178,4.44,11,34.5,118,4.22,6.99
2022,Justyn Ross,75.63,205,4.54,11,35.0,121,4.27,7.02
2022,Braylon Sanders,72.13,194,4.48,13,34.5,121,4.24,7.0
2022,Khalil Shakir,71.88,196,4.43,13,34.5,124,4.21,7.28
2022,Tyquan Thornton,74.38,181,4.28,12,36.5,130,4.23,6.99
2022,Jalen Tolbert,73.63,193,4.49,13,36.0,123,4.24,7.08
2022,Tre Turner,73.38,184,4.51,12,30.0,113,4.53,7.45
2022,Christian Watson,76.13,208,4.36,14,38.5,136,4.27,7.02
2022,Isaiah Weston,75.5,214,4.42,20,40.0,135,4.28,7.05
2022,Devon Williams,77.0,210,4.65,14,33.0,133,4.27,7.02
2022,Jameson Williams,73.5,179,4.55,11,34.0,118,4.22,6.99
2022,Garrett Wilson,71.75,183,4.38,12,36.0,123,4.36,6.99
2022,Michael Woods,73.5,203,4.55,14,34.5,125,4.46,7.07
2021,Jonathan Adams,74.0,210,4.59,14,39.0,132,4.38,7.04
2021,Tutu Atwell,68.88,155,4.39,5,33.0,117,4.09,6.87
2021,Jhamon Ausbon,74.38,217,4.72,16,33.0,118,4.28,6.89
2021,Kawaan Baker,72.5,210,4.45,21,39.5,129,4.41,7.42
2021,Rashod Bateman,72.38,190,4.43,12,36.0,123,4.35,6.95
2021,Tarik Black,74.75,213,4.54,15,40.0,132,4.26,6.91
2021,Rico Bussey,72.38,186,4.5,13,38.5,124,4.26,7.21
2021,Jalen Camp,73.88,226,4.48,29,39.5,125,4.14,7.0
2021,JaMarr Chase,72.38,201,4.34,14,41.0,132,3.99,6.96
2021,Nico Collins,76.13,215,4.45,14,37.5,125,4.32,6.79
2021,Donnie Corley,73.75,195,4.59,13,34.0,123,4.29,6.83
