player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Justin Jefferson,61398,WR,MIN,17,10.6,11,0.727272727,0.564102564,22,39,1,5.2,7,80,18,0,81,85.6,90.4,,90.5,0,0,5,64,0,0,736,4,128,0.9375,690,0.296195652,218,108.8,176,8,0.694293478,511,1809,632,4.9,14.1,2.62
Davante Adams,8688,WR,LV,17,12.8,16,0.595238095,0.441176471,15,34,0,5.7,6,66,23,1,76.9,59.2,90.1,66.1,90.5,0,0,6,60,0.00152207,1,657,2,100,0.940639269,618,0.299847793,197,102.2,168,14,0.695585997,457,1516,502,5,15.2,2.45
Tyreek Hill,10799,WR,MIA,17,12.7,12,0.71257485,0.52,13,25,1,3.3,4,77,17,1,90.2,65.5,92.1,,92.2,0.012323944,7,6,64,0,0,568,5,119,0.940140845,534,0.420774648,239,103.1,167,7,0.544014085,309,1710,487,4.1,14.4,3.2
Travis Kelce,7844,TE,KC,17,7.6,24,0.733333333,0.368421053,7,19,0,5.2,6,77,16,1,80.5,60.8,91.1,69.8,91.3,0.255639098,170,3,52,0.036090226,24,665,4,110,0.902255639,600,0.442105263,294,118.7,150,12,0.296240602,197,1338,664,6,12.2,2.23
Stefon Diggs,9579,WR,BUF,16,11.9,15,0.724832215,0.5,12,24,2,7.7,9,72,4,1,65.7,59.7,90.1,,90.1,0,0,1,53,0,0,607,5,108,0.94398682,573,0.341021417,207,124.3,149,11,0.658978583,400,1429,421,3.9,13.2,2.49
CeeDee Lamb,61570,WR,DAL,17,10.5,14,0.722972973,0.461538462,12,26,1,4.5,5,67,9,0,83.4,85.1,86.3,,87.5,0.003322259,2,4,39,0,0,602,4,107,0.948504983,571,0.624584718,376,109.6,148,9,0.362126246,218,1359,497,4.6,12.7,2.38
Diontae Johnson,33441,WR,PIT,17,10.7,15,0.609929078,0.363636364,8,22,1,8.5,8,45,25,1,57.6,57.4,69.6,,69.9,0,0,6,37,0,0,659,6,86,0.931714719,614,0.130500759,86,61.2,141,0,0.869499241,573,882,243,2.8,10.3,1.44
Garrett Wilson,97405,WR,NYJ,17,11,22,0.597122302,0.358974359,14,39,1,2.4,2,56,22,1,90.1,28.2,82.7,35.6,85.9,0.01300813,8,1,60,0.003252033,2,615,5,83,0.967479675,595,0.36097561,222,91.5,139,4,0.62601626,385,1103,389,4.7,13.3,1.85
D.K. Metcalf,47864,WR,SEA,17,12.1,6,0.647482014,0.476190476,20,42,1,5.3,5,47,29,2,78,29.5,75.3,,76.6,0,0,4,54,0,0,613,8,90,0.942903752,578,0.168026101,103,89.9,139,6,0.831973899,510,1048,231,2.6,11.6,1.81
Amon-Ra St. Brown,84470,WR,DET,16,6.7,9,0.762589928,0.384615385,5,13,0,3.6,4,68,11,0,88.1,84.9,90.7,64.9,90.4,0.003913894,2,1,49,0.001956947,1,511,0,106,0.945205479,483,0.598825832,306,111.8,139,6,0.387475538,198,1161,544,5.1,11,2.4
Michael Pittman Jr.,29049,WR,IND,16,7.7,5,0.712230216,0.5,15,30,0,4.8,5,51,14,2,81.4,34.3,70.6,,70.3,0.00148368,1,3,28,0,0,674,1,99,0.951038576,641,0.271513353,183,89.8,139,4,0.727002967,490,925,343,3.5,9.3,1.44
A.J. Brown,48327,WR,PHI,17,12.9,17,0.642335766,0.5,15,30,0,6.4,6,59,24,2,68.2,29.8,88,,89.2,0,0,3,78,0,0,611,2,88,0.94599018,578,0.25695581,157,118.8,137,11,0.741407529,453,1496,565,6.4,17,2.59
Chris Godwin,11839,WR,TB,15,6,11,0.759124088,0.576923077,15,26,0,4.6,5,53,30,2,82.9,35.2,75.1,73.9,76.4,0.001610306,1,1,44,0.003220612,2,621,4,104,0.935587762,581,0.729468599,453,100.7,137,3,0.267310789,166,1023,522,5,9.8,1.76
