player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Justin Jefferson,61398,WR,MIN,17,176,0,18,12.7,3,62.3,57.1,8,14,2.9,1,23,0,70.8,88.3,1,47,0.0,0,220,33,91.4,201,108.8,53,30.1,2,637,236,7.2,19.3,3.17,0,10.2,6,79.4,55.0,11,20,4.9,4,49,0,82.9,90.4,4,64,0.0,0,386,77,95.3,368,103.8,97,55.1,3,1024,352,4.6,13.3,2.78
Davante Adams,8688,WR,LV,17,168,0,23,12.0,5,51.5,37.5,3,8,5.6,1,14,0,68.7,82.8,0,58,0.0,0,134,17,92.5,124,115.9,33,19.6,4,248,101,5.9,14.6,2.0,0,12.7,7,61.7,45.0,9,20,7.0,5,39,1,67.8,89.4,6,60,0.3,1,362,66,95.9,347,82.5,107,63.7,5,946,328,5.0,14.3,2.73
Tyreek Hill,10799,WR,MIA,17,167,0,17,11.9,3,66.7,37.5,3,8,0.0,0,13,1,83.6,89.1,2,26,0.0,0,88,20,93.2,82,84.3,30,18.0,2,232,61,3.1,11.6,2.83,0,13.1,5,72.4,57.1,8,14,4.5,4,54,0,81.6,91.6,4,64,0.0,0,358,84,94.7,339,106.8,116,69.5,5,1235,335,4.0,14.7,3.64
Travis Kelce,7844,TE,KC,17,150,0,16,8.1,13,71.7,40.0,4,10,5.0,2,28,0,74.4,90.7,1,39,2.6,6,231,38,87.9,203,128.4,53,35.3,7,443,262,6.9,11.7,2.18,0,7.2,8,76.9,37.5,3,8,3.2,2,40,1,83.3,90.8,2,52,4.8,16,331,60,91.2,302,103.0,78,52.0,1,810,367,6.1,13.5,2.68
Stefon Diggs,9579,WR,BUF,16,149,0,4,12.5,5,61.1,45.5,5,11,13.2,5,26,0,43.4,84.0,0,41,0.0,0,192,33,91.1,175,112.2,54,36.2,4,447,190,5.8,13.5,2.55,0,10.9,9,80.0,70.0,7,10,1.6,1,36,0,90.0,86.0,0,49,0.0,0,325,60,95.7,311,121.7,75,50.3,3,750,189,3.2,12.5,2.41
CeeDee Lamb,61570,WR,DAL,17,148,0,9,10.7,3,69.8,58.3,7,12,3.2,1,21,0,78.9,90.8,1,34,0.0,0,157,30,92.4,145,106.2,43,29.1,2,414,131,4.4,13.8,2.86,0,10.5,7,74.1,40.0,4,10,6.0,4,37,0,71.3,79.0,1,39,0.0,0,349,63,95.1,332,117.4,85,57.4,5,793,317,5.0,12.6,2.39
Diontae Johnson,33441,WR,PIT,17,141,0,25,11.0,4,51.1,25.0,3,12,7.7,2,18,1,65.0,71.8,2,32,0.0,0,174,24,90.2,157,48.2,47,33.3,0,240,81,3.4,10.0,1.53,0,11.0,11,65.5,57.1,4,7,9.8,6,26,0,49.8,68.2,4,37,0.0,0,409,55,94.4,386,65.7,84,59.6,0,583,143,2.6,10.6,1.51
Garrett Wilson,97405,WR,NYJ,17,139,0,22,11.0,9,58.9,42.1,8,19,2.9,1,23,1,79.4,88.2,0,54,0.0,0,194,33,95.9,186,96.4,56,40.3,2,448,153,4.6,13.6,2.41,0,11.1,13,65.1,31.3,5,16,0.0,0,28,0,90.2,81.5,1,60,0.3,1,322,41,97.5,314,93.7,63,45.3,1,585,233,5.7,14.3,1.86
D.K. Metcalf,47864,WR,SEA,17,139,0,29,14.4,2,55.0,33.3,6,18,4.3,1,13,0,73.0,76.8,1,54,0.0,0,136,22,90.4,123,91.4,40,28.8,2,357,93,4.2,16.2,2.9,0,10.5,1,68.8,66.7,12,18,7.0,4,25,2,66.8,70.0,2,26,0.0,0,362,53,96.1,348,82.1,77,55.4,1,538,123,2.3,10.2,1.55
Amon-Ra St. Brown,84470,WR,DET,16,139,0,11,6.9,1,72.7,50.0,4,8,3.0,1,25,0,78.9,90.8,0,49,0.0,0,143,32,90.9,130,127.7,44,31.7,4,366,153,4.8,11.4,2.82,0,6.3,7,78.2,20.0,1,5,4.7,3,35,0,77.6,82.7,1,32,0.0,0,302,61,96.7,292,96.5,78,56.1,0,659,316,5.2,10.8,2.26
Michael Pittman Jr.,29049,WR,IND,16,139,0,14,7.7,1,62.7,53.8,7,13,11.1,4,19,2,53.0,68.7,2,25,0.0,0,201,32,93.0,187,67.2,51,36.7,1,277,108,3.4,8.7,1.48,0,7.2,4,76.9,45.5,5,11,0.0,0,25,0,90.5,68.8,1,28,0.0,0,382,50,96.3,368,98.6,65,46.8,1,525,185,3.7,10.5,1.43
A.J. Brown,48327,WR,PHI,17,137,0,24,14.0,9,61.1,50.0,8,16,10.8,4,24,1,45.3,89.7,0,68,0.0,0,197,33,91.9,181,137.3,54,39.4,6,613,224,6.8,18.6,3.39,0,12.7,4,62.1,45.5,5,11,4.7,2,25,1,76.3,73.7,3,78,0.0,0,348,41,96.3,335,91.3,66,48.2,3,653,247,6.0,15.9,1.95
Chris Godwin,11839,WR,TB,15,137,0,30,9.0,1,69.6,57.1,4,7,5.9,1,13,0,67.7,71.1,0,20,0.8,1,127,16,91.3,116,104.8,23,16.8,1,167,41,2.6,10.4,1.44,0,5.6,7,76.0,57.9,11,19,5.0,4,34,0,76.9,76.6,1,44,0.3,1,371,76,95.4,354,92.5,100,73.0,0,751,414,5.4,9.9,2.12
DeVonta Smith,61100,WR,PHI,17,132,0,24,10.1,4,67.3,53.3,8,15,5.7,2,24,0,70.9,86.8,0,45,0.0,0,202,33,92.1,186,132.8,49,37.1,5,477,220,6.7,14.5,2.56,0,10.2,6,76.7,30.0,3,10,1.8,1,29,0,88.2,77.8,0,45,0.0,0,365,56,96.2,351,106.7,73,55.3,1,633,194,3.5,11.3,1.8
Ja'Marr Chase,84270,WR,CIN,12,127,0,7,11.3,3,68.4,44.4,4,9,7.1,2,22,0,64.1,91.2,2,60,0.0,0,123,26,88.6,109,122.5,38,29.9,5,417,164,6.3,16.0,3.83,0,9.9,9,66.2,15.4,2,13,7.8,4,28,2,64.4,71.7,1,26,0.0,0,334,47,94.9,317,89.6,71,55.9,2,492,207,4.4,10.5,1.55
Amari Cooper,9437,WR,CLV,17,126,0,8,15.0,0,53.1,46.2,6,13,13.3,4,23,0,46.5,82.1,1,53,0.0,0,183,26,90.7,166,104.2,49,38.9,4,461,95,3.7,17.7,2.78,0,11.9,6,68.8,64.3,9,14,2.2,1,31,0,83.9,78.1,1,55,0.0,0,345,44,94.8,327,101.6,64,50.8,2,589,150,3.4,13.4,1.8
Mike Evans,8642,WR,TB,15,123,0,30,10.8,2,63.9,77.8,7,9,0.0,0,16,0,84.9,81.9,2,41,0.0,0,144,23,93.1,134,85.0,36,29.3,2,296,93,4.0,12.9,2.21,0,16.0,2,61.6,58.8,10,17,8.2,4,32,0,62.4,73.1,4,63,0.0,0,390,45,95.9,374,85.1,73,59.3,3,714,107,2.4,15.9,1.91
Christian Kirk,47546,WR,JAX,17,123,0,15,10.8,1,70.7,25.0,2,8,9.4,3,23,0,57.0,87.7,0,34,0.0,0,164,29,90.9,149,135.4,41,33.3,4,412,107,3.7,14.2,2.77,0,9.0,5,69.7,28.6,2,7,4.2,2,26,0,77.4,69.7,4,49,0.3,1,397,46,96.5,383,72.7,66,53.7,0,599,262,5.7,13.0,1.56
Austin Ekeler,12164,HB,LAC,17,123,0,27,-0.2,1,81.3,0.0,0,1,7.1,1,7,0,63.2,59.9,0,21,18.6,21,113,13,79.6,90,126.3,16,13.0,2,77,99,7.6,5.9,0.86,0,-1.2,20,85.5,0.0,0,2,5.8,4,19,1,73.5,76.9,0,21,9.7,28,288,65,86.5,249,95.0,76,61.8,1,437,527,8.1,6.7,1.76
T.J. Hockenson,40912,TE,MIN,17,123,0,18,12.1,0,56.7,55.6,5,9,5.6,1,13,0,69.6,71.8,0,32,9.7,19,195,17,83.1,162,112.4,30,24.4,3,214,59,3.5,12.6,1.32,0,6.3,8,76.1,57.1,8,14,5.3,3,21,0,73.5,66.6,4,58,10.9,38,350,54,86.6,303,71.1,71,57.7,0,496,246,4.6,9.2,1.64
Zay Jones,11792,WR,JAX,16,117,0,15,7.8,0,72.7,66.7,2,3,11.1,3,16,0,52.7,70.0,0,19,0.6,1,155,24,89.7,139,99.4,33,28.2,1,211,72,3.0,8.8,1.52,0,8.9,8,70.7,37.5,3,8,8.6,5,26,0,59.3,67.4,1,59,0.5,2,365,53,95.9,350,103.8,75,64.1,4,551,218,4.1,10.4,1.57
Terry McLaurin,48229,WR,WAS,17,115,0,32,10.0,5,67.9,40.0,2,5,0.0,0,13,0,83.2,75.9,1,42,0.0,0,150,19,91.3,137,118.8,28,24.3,3,264,146,7.7,13.9,1.93,0,13.9,6,66.7,68.4,13,19,5.5,3,39,0,72.4,84.8,1,52,0.0,0,374,52,95.5,357,97.0,78,67.8,0,836,234,4.5,16.1,2.34
Chris Olave,84355,WR,NO,15,114,0,20,14.5,1,60.7,42.9,3,7,5.6,1,15,0,68.7,80.1,0,41,0.0,0,112,17,94.6,106,102.5,28,24.6,1,255,62,3.6,15.0,2.41,0,15.3,1,63.8,18.2,2,11,2.2,1,27,2,84.4,82.2,4,53,0.0,0,259,44,96.1,249,80.8,69,60.5,2,664,130,3.0,15.1,2.67
Drake London,86519,WR,ATL,17,114,0,2,11.1,1,53.3,62.5,5,8,5.9,1,11,1,67.7,83.7,0,37,0.0,0,87,16,94.3,82,106.1,30,26.3,3,189,35,2.2,11.8,2.3,0,11.3,7,68.9,53.3,8,15,1.9,1,34,1,87.2,85.2,2,40,0.0,0,303,51,96.0,291,88.3,74,64.9,1,632,193,3.8,12.4,2.17
Jaylen Waddle,84088,WR,MIA,17,114,0,17,9.5,1,73.3,0.0,0,2,8.3,1,10,1,60.2,70.5,0,42,0.0,0,89,11,92.1,82,144.7,15,13.2,3,151,56,5.1,13.7,1.84,0,12.5,5,63.5,25.0,4,16,9.6,5,38,0,56.0,84.4,1,84,0.3,1,356,47,94.4,336,115.0,74,64.9,3,931,391,8.3,19.8,2.77
Brandon Aiyuk,84109,WR,SF,17,112,0,28,9.5,6,62.9,16.7,1,6,4.3,1,16,0,73.5,84.6,1,54,0.0,0,139,22,88.5,123,121.0,35,31.3,5,326,160,7.3,14.8,2.65,0,10.8,9,73.8,46.2,6,13,5.9,3,25,1,71.4,77.0,0,32,0.0,0,341,48,96.2,328,105.7,65,58.0,1,576,190,4.0,12.0,1.76
Mark Andrews,47436,TE,BLT,15,110,0,3,10.6,3,68.3,88.9,8,9,9.7,3,18,0,55.9,84.8,0,36,0.0,0,143,28,93.0,133,118.8,41,37.3,3,348,107,3.8,12.4,2.62,0,10.4,0,67.2,12.5,1,8,0.0,0,25,1,90.0,70.7,3,25,0.4,1,264,39,96.2,254,68.5,58,52.7,0,445,128,3.3,11.4,1.75
Tyler Lockett,9502,WR,SEA,16,109,0,29,16.4,0,60.0,20.0,1,5,7.7,1,7,1,61.8,59.2,0,35,0.0,0,124,12,91.1,113,114.8,20,18.3,2,141,14,1.2,11.8,1.25,0,10.1,3,77.9,25.0,1,4,1.9,1,32,0,87.6,78.9,5,40,0.0,0,338,53,96.2,325,95.8,68,62.4,4,655,198,3.7,12.4,2.02
DJ Moore,48267,WR,CAR,17,109,0,5,13.9,0,51.5,57.1,4,7,5.6,1,15,0,67.7,77.5,1,47,0.0,0,118,17,91.5,108,97.3,33,30.3,3,274,56,3.3,16.1,2.54,0,13.4,9,60.3,53.8,7,13,4.7,2,24,0,74.8,69.5,4,47,0.0,0,367,41,95.1,349,62.3,68,62.4,1,483,122,3.0,11.8,1.38
Courtland Sutton,48164,WR,DEN,15,106,0,10,15.7,0,51.9,38.5,5,13,17.6,3,10,0,36.0,72.9,1,51,0.0,0,113,14,87.6,99,84.3,27,25.5,1,273,49,3.5,19.5,2.76,0,11.5,3,65.2,47.1,8,17,6.5,3,22,0,68.2,65.4,3,35,0.0,0,350,43,95.7,335,66.0,66,62.3,0,453,77,1.8,10.5,1.35
Tyler Higbee,10744,TE,LA,17,104,0,26,2.3,1,52.9,,0,0,10.0,1,6,0,56.7,60.4,0,19,14.4,18,125,9,81.6,102,83.5,17,16.3,1,72,66,7.3,8.0,0.71,0,3.6,3,72.2,22.2,2,9,8.8,5,19,0,58.7,65.1,3,26,19.5,66,338,52,79.3,268,71.5,72,69.2,0,459,290,5.6,8.8,1.71
Tee Higgins,61211,WR,CIN,16,104,0,7,12.3,3,69.2,57.1,4,7,0.0,0,16,0,83.6,84.3,0,33,0.0,0,129,18,91.5,118,127.4,26,25.0,2,262,80,4.4,14.6,2.22,0,11.2,0,70.3,61.5,8,13,6.3,3,23,0,68.6,67.8,1,45,0.0,0,355,45,96.9,344,97.4,64,61.5,1,584,141,3.1,13.0,1.7
Marquise Brown,61568,WR,ARZ,12,103,0,1,13.0,0,56.0,62.5,5,8,0.0,0,10,0,80.6,80.2,2,24,0.0,0,99,14,87.9,87,70.8,25,24.3,2,172,31,2.2,12.3,1.98,0,11.1,3,69.5,60.0,3,5,4.7,2,18,0,74.8,66.4,4,47,0.0,0,341,41,95.3,325,66.6,59,57.3,1,413,181,4.4,10.1,1.27
Adam Thielen,8288,WR,MIN,17,103,0,18,11.0,1,55.6,22.2,2,9,0.0,0,16,0,84.5,69.3,0,23,1.4,3,216,20,90.3,195,108.2,36,35.0,5,175,47,2.4,8.8,0.9,0,9.7,0,77.1,0.0,0,6,2.6,1,23,0,80.8,62.2,2,36,0.0,0,378,37,95.8,362,83.8,48,46.6,0,401,89,2.4,10.8,1.11
Christian McCaffrey,11763,HB,SF,17,102,0,28,3.5,1,78.3,33.3,1,3,5.3,1,8,0,68.7,87.6,0,38,13.9,17,122,18,79.5,97,126.3,23,22.5,2,169,126,7.0,9.4,1.74,0,0.1,14,86.2,66.7,2,3,1.8,1,24,0,88.9,91.3,1,49,9.4,27,287,56,86.8,249,97.2,65,63.7,1,497,519,9.3,8.9,2.0
